code,Team,year,color,name
RBR,Red Bull Racing,2023,#ffe119,Red Bull
MER,Mercedes,2023,#00c0bf,Mercedes
FER,Ferrari,2023,#e6194b,Ferrari
APN,Alpine,2023,#f032e6,Alpine
MCL,McLaren,2023,#f58231,McLaren
ARR,Alfa Romeo,2023,#800000,Alfa Romeo
AMR,Aston Martin,2023,#3cb44b,Aston Martin
HAA,Haas F1 Team,2023,#ffffff,Haas
APT,AlphaTauri,2023,#dcbeff,AlphaTauri
WIL,Williams,2023,#4363d8,Williams

RBR,Red Bull Racing,2022,#ffe119,Red Bull
MER,Mercedes,2022,#00c0bf,Mercedes
FER,Ferrari,2022,#e6194b,Ferrari
APN,Alpine,2022,#f032e6,Alpine
MCL,McLaren,2022,#f58231,McLaren
ARR,Alfa Romeo,2022,#800000,Alfa Romeo
AMR,Aston Martin,2022,#3cb44b,Aston Martin
HAA,Haas F1 Team,2022,#ffffff,Haas
APT,AlphaTauri,2022,#dcbeff,AlphaTauri
WIL,Williams,2022,#4363d8,Williams

RBR,Red Bull Racing,2021,#ffe119,Red Bull
MER,Mercedes,2021,#00c0bf,Mercedes
FER,Ferrari,2021,#e6194b,Ferrari
APN,Alpine,2021,#f032e6,Alpine
MCL,McLaren,2021,#f58231,McLaren
ARR,Alfa Romeo Racing,2021,#800000,Alfa Romeo
AMR,Aston Martin,2021,#3cb44b,Aston Martin
HAA,Haas F1 Team,2021,#ffffff,Haas
APT,AlphaTauri,2021,#dcbeff,AlphaTauri
WIL,Williams,2021,#4363d8,Williams

RBR,Red Bull Racing,2020,#000099,Red Bull
REN,Renault,2020,#ffe119,Renault
RP,Racing Point,2020,#f032e6,Racing Point
MER,Mercedes,2020,#00c0bf,Mercedes
FER,Ferrari,2020,#e6194b,Ferrari
MCL,McLaren,2020,#f58231,McLaren
ARR,Alfa Romeo Racing,2020,#800000,Alfa Romeo
HAA,Haas F1 Team,2020,#ffffff,Haas
APT,AlphaTauri,2020,#dcbeff,AlphaTauri
WIL,Williams,2020,#4363d8,Williams

RBR,Red Bull Racing,2019,#000099,Red Bull
REN,Renault,2019,#ffe119,Renault
RP,Racing Point,2019,#f032e6,Racing Point
TR,Toro Rosso,2019,#dcbeff,Toro Rosso
MER,Mercedes,2019,#00c0bf,Mercedes
FER,Ferrari,2019,#e6194b,Ferrari
MCL,McLaren,2019,#f58231,McLaren
ARR,Alfa Romeo Racing,2019,#800000,Alfa Romeo
HAA,Haas F1 Team,2019,#ffffff,Haas
WIL,Williams,2019,#4363d8,Williams

RBR,Red Bull Racing,2018,#000099,Red Bull
REN,Renault,2018,#ffe119,Renault
TR,Toro Rosso,2018,#dcbeff,Toro Rosso
FI,Force India,2018,#f032e6,Force India
SB,Sauber,2018,#800000,Sauber
MER,Mercedes,2018,#00c0bf,Mercedes
FER,Ferrari,2018,#e6194b,Ferrari
MCL,McLaren,2018,#f58231,McLaren
HAA,Haas F1 Team,2018,#ffffff,Haas
WIL,Williams,2018,#4363d8,Williams
